time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
5700,2024-07-02 11:12:04,51.5367848076014,61.151035263892,48.884516,48.8517076,1020.2036386176,1069.0553462176,40.682416,7.0687304,3.13685377492,5.7929463796,23,5,16.105,1069.0553462176,48.884516,7.0687304,3.13685377492,-6.934514,-1.342164,-12.30317,193.9, -23.1, 0.8,0,0,1684,1024,1024,1024,100,0,0,0,167.7,0,0,95,4.073,4.06,4.068,4.068,0,0,14.95,70.16,1069.0553462176,48.884516,6,P-GPS,
5900,2024-07-02 11:12:04,51.53677864641,61.1510324652062,51.509188,51.345146,1020.3348722176,1071.6800182176,48.556432,8.276678,5.383202272,8.1288716512,23,5,16.105,1071.6800182176,51.509188,8.276678,5.383202272,-7.82929,-2.684328,-10.289924,201.1, -28, -0.5,0,0,1684,1024,1024,1024,100,0,0,0,167.7,0,0,95,4.073,4.06,4.068,4.068,0,0,14.95,70.16,1071.6800182176,51.509188,6,P-GPS,
6100,2024-07-02 11:12:04,51.5367715296497,61.1510288422276,53.149608,52.8871408,1020.4332974176,1073.3204382176,51.509188,9.5517338,8.054134116,10.8524609772,23,5,16.105,1073.3204382176,53.149608,9.5517338,8.054134116,-8.94776,-3.35541,-7.82929,201.8, -29.8, 0,0,0,1684,1024,1024,1024,100,0,0,0,167.7,0,0,95,4.073,4.06,4.068,4.068,0,0,14.95,70.16,1073.3204382176,53.149608,6,P-GPS,
6300,2024-07-02 11:12:05,51.5367637031233,61.1510245029331,53.805776,53.4120752,1020.5645310176,1073.9766062176,53.149608,11.1847,11.0367129516,13.8729991316,23,5,16.105,1073.9766062176,53.805776,11.1847,11.0367129516,-10.513618,-3.802798,-5.368656,201.6, -29.7, 2.3,0,0,1684,1024,1024,1024,100,0,0,0,167.7,0,0,95,4.073,4.06,4.068,4.068,0,0,14.95,70.16,1073.9766062176,53.805776,6,P-GPS,
6500,2024-07-02 11:12:05,51.5367546245818,61.1510191005449,54.13386,53.5761172,1020.7285730176,1074.3046902176,54.790028,12.1689536,14.5353679192,17.4049218168,23,5,16.105,1074.3046902176,54.13386,12.1689536,14.5353679192,-11.408394,-4.250186,-2.908022,201.8, -29.6, 2.6,0,0,1684,1024,1024,1024,100,0,0,0,167.7,0,0,95,4.073,4.06,4.068,4.068,0,0,14.95,70.16,1074.3046902176,54.13386,6,P-GPS,
6700,2024-07-02 11:12:05,51.5367449892127,61.1510130281325,55.118112,54.3963272,1020.8926150176,1075.2889422176,56.758532,13.5782258,18.2824809,21.1808405728,23,5,16.239,1075.2889422176,55.118112,13.5782258,18.2824809,-12.750558,-4.697574,-0.671082,201.8, -29.1, 2.9,0,0,1684,1024,1024,1024,100,0,0,0,167.7,0,0,95,4.21,4.198,4.211,4.207,0,0,12.314,70.34,1075.2889422176,55.118112,6,P-GPS,
6900,2024-07-02 11:12:05,51.5367345541011,61.1510061840979,55.118112,54.1994768,1021.0894654176,1075.2889422176,57.742784,15.3677778,22.368603078,25.2927173448,23,5,16.239,1075.2889422176,55.118112,15.3677778,22.368603078,-14.316416,-5.59235,0,201.6, -28.3, 3.3,0,0,1684,1024,1024,1024,100,0,0,0,167.7,0,0,95,4.21,4.198,4.211,4.207,0,0,12.314,70.34,1075.2889422176,55.118112,6,P-GPS,
7100,2024-07-02 11:12:05,51.5367221613925,61.150997845904,54.790028,53.6745424,1021.2863158176,1074.9608582176,57.742784,17.559979,27.2457029716,30.1941938796,23,5,16.239,1075.2889422176,55.118112,17.559979,27.2457029716,-16.329662,-6.487126,0,201.5, -26.3, 3.2,0,0,1684,1024,1024,1024,100,0,0,0,167.7,0,0,95,4.21,4.198,4.211,4.207,0,0,12.314,70.34,1074.9608582176,54.790028,6,P-GPS,
7300,2024-07-02 11:12:06,51.5367087225679,61.1509886965216,54.790028,53.477692,1021.4831662176,1074.9608582176,63.320212,19.2824228,32.5504603592,35.519030008,23,5,16.239,1075.2889422176,55.118112,19.2824228,32.5504603592,-17.89552,-7.158208,0,201.5, -22.4, 3.1,0,0,1684,1024,1266,1024,100,0,37,0,167.7,0,0,95,4.21,4.198,4.211,4.207,0,0,12.314,70.34,1074.9608582176,54.790028,6,P-GPS,
7500,2024-07-02 11:12:06,51.5366945387393,61.1509790463189,54.790028,53.2480332,1021.7128250176,1074.9608582176,67.585304,20.691695,38.154856864,41.138124676,23,5,16.239,1075.2889422176,55.118112,20.691695,38.154856864,-19.237684,-7.605596,0,201.6, -19.6, 2.2,0,0,1684,1024,1684,592,100,0,100,-65,167.7,0,0,95,4.21,4.198,4.211,4.207,0,0,12.314,70.34,1074.9608582176,54.790028,6,P-GPS,
